t,frame,x,y,z,doppler,snr_db
1783974076.467,104,7.347,1.456,-2.053,0.0,13.4
1783974076.568,105,0.667,-0.886,-0.239,0.0,11.9
1783974076.568,105,1.02,0.496,-0.01,0.0,11.9
1783974076.568,105,7.575,-0.954,0.079,0.0,17.0
1783974076.568,105,7.762,-0.243,0.024,0.0,14.2
1783974076.669,106,0.732,-0.851,-0.164,0.0,11.6
1783974076.669,106,7.575,-0.954,-0.041,0.0,18.0
1783974076.669,106,7.324,1.909,1.004,0.0,18.0
1783974076.77,107,0.673,-0.886,-0.221,0.0,11.2
1783974076.77,107,7.593,-0.716,-0.364,0.0,18.0
1783974076.77,107,6.508,1.909,3.507,0.0,18.0
1783974076.77,107,7.704,0.971,-0.101,0.0,13.8
1783974076.872,108,0.31,-0.515,-0.107,0.0,11.6
1783974076.872,108,7.292,2.16,1.057,0.0,15.4
1783974076.872,108,7.65,1.213,-0.556,0.0,15.7
1783974076.973,109,0.635,-0.886,-0.314,0.0,12.5
1783974076.973,109,1.018,0.496,-0.062,0.0,12.5
1783974076.973,109,7.169,2.386,1.096,0.0,14.6
1783974076.973,109,7.317,-1.67,1.4,0.0,14.6
1783974076.973,109,7.628,1.456,-0.031,0.0,15.0
1783974077.074,110,7.706,-0.483,0.153,0.0,12.0
1783974077.175,111,7.693,0.728,-0.777,0.0,11.9
1783974077.275,112,0.706,-0.851,-0.255,0.0,12.5
1783974077.275,112,1.05,0.425,-0.054,0.0,12.5
1783974077.275,112,7.472,-0.72,1.617,0.0,14.0
1783974077.376,113,0.663,-0.886,-0.249,0.0,11.6
1783974077.376,113,0.912,0.567,0.365,0.0,11.6
1783974077.476,114,7.399,-0.933,-0.193,0.0,11.5
1783974077.476,114,7.049,1.865,1.579,0.0,11.5
1783974077.476,114,7.559,-0.477,0.963,0.0,12.3
1783974077.476,114,8.235,-2.127,-0.182,0.0,11.5
1783974077.577,115,7.4,-0.954,1.62,0.0,13.4
1783974077.577,115,7.252,2.386,0.107,0.0,13.4
1783974077.577,115,7.627,1.456,-0.138,0.0,15.9
