seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
323,635236121,0,1002,13,-11,-210,-980,-70
324,635241121,0,1002,13,-11,-210,-980,-70
325,635246122,0,1002,13,-11,-210,-980,-70
326,635251121,0,1002,13,-11,-280,-980,0
327,635256122,0,1002,13,-11,-280,-980,0
328,635261121,0,1002,13,-11,-280,-980,0
329,635266125,0,1002,13,-11,-280,-980,0
330,635271122,0,1002,13,-11,-280,-1050,-70
331,635276122,0,1002,13,-11,-280,-1050,-70
332,635281123,0,1002,13,-11,-280,-1050,-70
333,635286122,0,1001,13,-11,-210,-980,-70
334,635291121,0,1001,13,-11,-210,-980,-70
335,635296126,0,1001,13,-11,-210,-980,-70
336,635301119,0,1001,13,-11,-210,-980,-70
337,635306122,0,1002,13,-12,-280,-1050,-70
338,635311122,0,1002,13,-12,-280,-1050,-70
339,635316122,0,1002,13,-12,-280,-1050,-70
340,635321122,0,1002,13,-12,-280,-1050,-70
341,635326123,0,1002,14,-12,-210,-1050,-70
342,635331127,0,1002,14,-12,-210,-1050,-70
343,635336122,0,1002,14,-12,-210,-1050,-70
344,635341125,0,1002,12,-11,-280,-980,-70
345,635346123,0,1002,12,-11,-280,-980,-70
346,635351124,0,1002,12,-11,-280,-980,-70
347,635356118,0,1002,12,-11,-280,-980,-70
348,635361125,0,1001,13,-11,-210,-1050,-70
349,635366124,0,1001,13,-11,-210,-1050,-70
350,635371125,0,1001,13,-11,-210,-1050,-70
351,635376122,0,1001,13,-11,-210,-1050,-70
352,635381121,0,1003,13,-11,-210,-1050,-70
353,635386122,0,1003,13,-11,-210,-1050,-70
354,635391132,0,1003,13,-11,-210,-1050,-70
355,635396122,0,1003,13,-11,-210,-1050,-70
356,635401121,0,1001,14,-12,-280,-1050,-70
357,635406120,0,1001,14,-12,-280,-1050,-70
358,635411119,0,1001,14,-12,-280,-1050,-70
359,635416118,0,1002,14,-11,-280,-1050,-70
360,635421121,0,1002,14,-11,-280,-1050,-70
361,635426124,0,1002,14,-11,-280,-1050,-70
